car,price,expirience,carAge,gender,ownershipType,vehicleClass,annualMileage,frequencyLevel
54,2.669,9,2.71,0,0,3,33.57,2
6,0.210,10,5.41,0,0,2,6.94,2
16,2.682,1,5.85,1,0,1,14.55,1
4,0.294,18,4.94,0,0,0,42.34,2
85,1.166,1,3.36,0,1,0,3.01,0
11,3.872,8,0.82,0,1,1,49.26,1
76,1.376,3,3.04,0,0,3,14.15,1
21,4.514,22,3.02,0,0,2,27.61,2
28,0.996,1,3.85,1,0,1,37.31,1
87,0.301,20,2.69,0,0,0,32.54,2
33,2.111,9,2.62,0,0,0,34.11,2
24,0.920,1,2.72,1,1,0,24.45,0
94,0.687,17,4.99,0,0,0,52.49,2
50,3.901,2,6.27,1,0,0,12.11,1
35,0.578,23,4.94,0,0,0,16.41,2
28,0.347,3,1.13,1,0,2,59.73,1
38,0.168,2,0.85,1,1,3,74.57,0
67,2.284,1,0.56,0,0,0,26.24,0
2,1.600,23,4.94,1,0,0,16.66,2
71,0.466,2,5.04,1,1,0,44.26,1
33,0.404,14,3.63,1,1,0,52.01,2
8,0.757,4,1.38,0,0,1,48.35,1
86,1.467,8,0.10,0,0,0,21.15,2
20,0.439,8,9.95,1,0,0,37.98,1
11,5.274,0,2.02,0,0,2,15.95,0
87,0.915,17,2.29,0,0,0,49.69,2
55,0.212,19,8.72,1,0,0,3.69,2
10,1.934,1,3.25,0,0,3,70.50,0
15,3.234,0,5.19,1,0,0,13.48,0
76,0.161,6,2.52,1,0,0,26.52,2
15,0.604,1,4.58,0,0,0,41.65,0
7,3.076,14,1.11,0,0,1,57.34,2
7,1.089,11,0.36,0,0,2,14.35,2
3,0.236,15,6.63,0,1,0,52.64,2
28,0.203,19,4.53,0,0,1,23.73,2
90,0.996,5,4.50,0,0,2,8.05,2
85,1.869,8,3.09,1,0,0,9.33,2
26,1.190,15,5.44,1,1,2,26.91,2
13,1.148,5,0.30,0,0,0,59.56,2
75,1.411,7,5.72,1,0,0,26.70,2
4,1.093,16,3.12,1,0,0,20.78,2
86,1.249,1,1.32,0,0,3,34.81,0
45,1.199,11,0.15,0,0,2,45.13,2
9,0.687,13,2.69,0,0,2,20.47,2
68,1.405,4,5.44,0,1,2,47.82,1
31,1.191,10,5.28,1,1,2,39.48,2
49,0.242,2,2.85,0,0,0,42.44,0
88,2.428,7,5.08,0,1,2,21.50,2
44,0.470,22,0.33,1,0,0,18.89,2
25,1.518,13,2.46,0,0,1,12.01,2
14,0.550,12,3.80,0,0,0,39.48,1
92,1.645,3,2.45,0,0,0,43.56,1
68,0.785,10,4.32,0,0,2,16.53,2
43,2.147,3,1.50,0,0,2,11.46,1
37,2.182,0,4.44,0,0,2,46.67,0
77,1.455,17,4.72,0,0,2,45.30,2
1,1.310,11,2.23,1,0,0,44.95,2
18,0.852,1,5.80,0,0,3,39.71,0
74,1.272,2,3.02,0,0,0,7.72,0
34,0.508,14,1.72,0,0,3,35.99,2
68,2.712,18,5.57,1,0,2,10.31,2
13,0.653,21,1.49,0,0,1,5.28,2
50,0.187,6,6.73,0,0,2,45.18,1
70,1.497,11,3.60,1,0,3,39.25,2
24,1.112,8,8.22,1,0,0,74.70,1
62,1.175,12,4.13,1,0,2,39.66,2
89,3.206,6,0.75,0,0,2,12.25,1
5,1.027,2,2.14,1,1,1,18.85,0
43,0.298,6,7.30,1,0,1,11.08,2
11,1.980,6,1.61,1,1,2,51.28,2
34,0.535,14,6.24,0,0,0,54.58,2
36,1.594,4,2.66,1,0,0,48.71,1
79,0.730,1,0.81,0,0,2,6.13,0
62,0.359,7,0.34,0,0,0,57.21,2
39,0.621,18,2.65,0,1,0,73.25,2
33,0.388,14,6.41,0,0,2,49.55,2
80,2.580,4,1.65,0,0,0,30.90,1
46,1.921,12,8.34,0,0,0,3.97,2
61,2.601,12,6.46,0,0,0,21.80,2
5,1.323,3,1.34,1,0,1,60.79,1
37,1.791,21,7.00,0,0,0,5.14,2
56,1.224,6,1.39,1,0,0,31.42,2
1,1.826,5,0.91,0,0,0,46.97,2
41,0.305,17,0.96,0,0,0,21.07,2
3,0.237,10,3.71,1,0,2,55.28,2
33,0.191,17,7.32,0,0,0,40.11,2
65,1.346,2,6.04,1,0,0,12.41,1
51,1.510,17,7.61,0,0,0,53.59,2
40,1.180,4,2.48,0,1,0,9.25,1
84,0.404,2,3.50,1,0,0,6.24,1
90,1.219,4,0.67,1,0,2,13.64,2
4,0.650,13,2.11,1,0,1,75.19,2
51,1.499,11,0.06,1,0,0,83.93,2
83,0.230,7,2.30,0,0,0,36.76,2
62,1.721,10,3.97,0,0,2,12.52,2
45,2.274,3,4.06,0,0,2,16.11,1
37,0.969,7,2.62,0,1,1,70.63,2
58,0.576,16,6.20,0,0,0,48.66,2
93,0.541,15,3.70,1,0,0,8.88,2
80,1.240,17,2.46,0,0,1,43.57,2
37,0.943,12,2.52,1,0,2,41.87,0
31,0.271,14,4.75,0,0,2,62.90,2
35,0.328,28,4.61,0,0,0,13.71,2
61,0.599,8,0.85,0,0,2,44.76,2
69,1.388,0,2.44,0,0,2,49.69,0
25,1.695,1,6.16,0,0,1,9.35,0
87,0.389,13,8.57,0,1,0,28.53,2
43,2.073,24,4.34,0,0,2,55.98,2
18,1.141,13,0.80,1,0,2,34.12,2
68,1.237,15,3.04,1,0,2,27.84,2
78,1.911,4,4.79,0,1,2,47.99,1
70,0.360,8,4.33,1,1,0,11.31,2
27,1.985,7,2.29,1,0,2,32.84,2
26,3.053,6,3.84,0,0,2,31.71,1
42,0.261,21,0.85,0,0,3,12.17,2
4,2.774,18,4.98,1,0,0,31.43,2
49,2.778,9,4.42,0,0,0,67.06,1
76,2.061,23,5.15,0,0,0,14.62,2
10,1.777,12,6.39,0,0,1,83.26,2
26,0.773,3,4.58,1,0,2,29.97,1
19,1.502,7,0.61,0,0,2,11.17,2
30,0.616,13,1.19,0,0,1,46.66,2
58,0.855,6,0.80,0,0,0,8.21,2
64,1.864,1,2.49,1,0,0,53.48,0
3,2.081,12,5.62,1,0,1,4.57,2
72,0.793,14,3.73,0,0,0,43.75,2
84,0.350,3,4.20,0,0,0,15.71,1
37,1.657,16,2.30,0,0,2,25.08,2
55,0.750,4,0.05,1,0,2,62.51,1
18,2.600,10,1.66,0,0,3,29.17,2
39,2.555,0,0.06,1,0,2,67.11,0
30,0.945,18,6.01,1,0,2,20.68,2
13,0.789,20,3.45,1,0,0,59.88,2
94,1.048,13,2.05,1,0,1,10.91,2
73,0.246,1,5.95,1,0,1,25.12,1
10,1.087,1,5.60,0,0,0,50.43,0
90,1.547,6,4.21,0,0,2,13.45,2
91,1.036,11,2.89,0,0,0,28.69,2
70,0.407,1,3.73,1,0,0,38.44,1
47,0.902,7,4.51,0,0,2,24.76,2
84,1.487,11,0.68,0,0,2,5.17,2
1,1.708,8,3.08,0,0,2,35.69,2
22,2.374,2,0.54,1,0,0,5.48,0
22,1.128,15,4.80,1,0,1,15.80,2
60,2.667,28,0.56,1,0,0,62.43,2
33,1.048,11,3.64,0,1,0,53.35,2
66,1.303,15,4.79,1,1,0,51.86,2
2,1.857,0,7.26,0,0,3,58.48,0
28,0.610,9,5.06,0,0,0,63.81,1
87,1.457,16,5.62,1,0,0,3.22,2
55,1.730,28,1.77,0,0,0,8.97,1
6,2.223,21,0.60,0,0,0,62.29,2
80,1.044,2,4.75,0,0,0,16.95,0
60,0.442,14,2.78,1,0,2,45.50,2
94,1.814,19,2.97,0,0,1,52.26,2
57,1.234,5,5.09,0,0,3,23.60,2
64,0.195,8,0.72,0,0,0,30.09,2
82,2.194,8,3.19,0,0,2,50.24,1
84,0.320,21,3.41,0,1,2,21.79,2
39,0.446,5,2.20,0,0,2,19.33,2
32,1.164,14,1.99,1,0,1,8.98,2
83,2.103,14,3.66,0,0,0,24.25,2
13,3.549,1,1.51,1,0,0,5.30,0
29,0.277,9,1.85,0,0,0,28.29,2
62,1.115,9,2.96,0,0,2,26.93,2
12,0.226,3,9.43,0,0,1,22.53,1
60,0.458,22,5.19,0,0,2,23.52,2
90,0.730,6,5.46,0,0,0,5.12,2
71,0.632,4,1.86,0,0,2,35.34,1
21,2.779,18,1.53,0,0,1,17.46,2
33,2.420,20,7.95,1,0,2,31.30,2
81,0.167,1,10.77,0,0,2,63.08,0
1,0.560,4,8.53,0,0,2,57.61,1
74,0.817,0,1.17,0,1,0,7.26,0
86,1.756,3,1.32,1,1,0,47.73,1
15,1.188,1,3.91,1,0,3,33.61,1
28,0.620,0,6.95,1,0,0,28.84,0
94,0.262,11,4.16,1,0,2,21.57,2
17,2.351,12,2.11,0,0,0,10.15,2
69,0.341,17,3.22,0,0,2,11.59,2
24,3.948,3,6.29,0,0,0,51.99,1
93,2.448,13,6.32,0,0,0,45.66,2
92,1.510,6,3.65,0,1,0,42.49,2
38,2.138,11,6.98,0,0,0,5.04,2
72,1.784,20,2.92,1,1,1,31.54,2
87,3.001,11,3.35,0,1,2,29.92,2
47,0.387,7,4.43,0,0,1,16.75,2
62,1.508,19,6.34,0,0,0,24.37,2
10,1.142,1,0.48,1,0,0,44.62,0
90,1.281,22,4.68,0,0,0,24.64,2
42,0.477,12,3.42,0,1,2,23.41,2
79,2.476,10,4.85,0,0,0,19.54,2
88,0.633,6,0.69,0,0,2,23.14,2
52,2.851,11,9.71,0,1,3,43.15,2
27,0.537,1,3.64,0,0,2,17.08,0
18,0.377,11,3.92,0,0,0,31.82,2
59,1.231,1,1.79,0,0,0,13.20,0
72,2.703,2,1.29,0,0,2,34.45,0
28,1.514,2,4.35,0,0,0,48.85,0
79,2.009,8,1.20,0,0,0,51.25,2
14,0.876,13,3.59,0,0,2,54.74,1
24,0.728,7,0.47,1,1,0,46.79,2
36,0.302,1,0.94,1,1,0,34.08,0
85,0.446,3,5.46,0,0,0,11.18,1
57,1.048,4,6.47,0,0,0,10.63,1
14,0.163,11,2.61,1,0,2,31.58,2
84,0.921,19,1.99,1,0,0,18.86,2
88,2.435,4,4.56,0,0,1,4.57,2
94,0.927,10,3.81,0,0,2,8.63,2
41,0.621,2,0.50,0,0,0,72.69,0
6,2.551,13,1.63,0,0,3,46.65,2
84,0.990,5,1.81,0,0,2,48.63,2
36,0.261,23,2.76,0,0,1,64.12,2
40,1.247,12,1.79,0,0,0,73.71,2
80,0.987,5,4.84,0,1,1,17.78,2
68,1.251,7,1.55,1,0,1,33.30,2
75,0.575,18,1.05,0,0,2,39.73,2
25,1.140,7,3.92,0,0,3,18.68,2
85,0.891,19,3.10,1,0,0,63.13,2
89,2.058,17,4.64,0,0,0,44.26,2
11,1.200,8,2.18,0,0,0,21.98,2
1,2.214,5,2.23,0,0,0,31.05,2
30,0.775,1,1.18,0,0,2,11.47,0
86,0.381,17,6.42,1,1,1,17.61,2
61,0.423,15,2.46,0,0,2,3.23,2
93,0.342,8,1.83,1,0,2,6.72,2
54,0.544,17,0.08,1,0,1,8.44,2
78,1.616,9,7.46,0,1,0,19.09,2
74,3.437,4,4.95,0,0,2,9.89,1
22,2.216,5,0.55,1,0,2,22.75,2
69,2.570,1,2.02,1,0,0,41.27,0
35,0.987,1,3.20,0,0,1,64.31,0
39,2.267,18,3.09,0,0,0,67.15,2
11,2.100,3,4.27,0,0,1,14.76,1
47,1.302,10,0.51,1,0,1,18.67,2
48,2.559,3,4.85,1,0,2,18.23,1
84,0.852,17,4.89,1,1,0,23.07,2
44,2.710,3,0.69,0,0,0,31.67,1
43,0.603,12,1.78,1,0,2,24.94,2
8,0.762,1,3.68,0,0,0,21.54,0
68,2.705,13,0.89,1,0,2,10.93,2
11,5.171,6,5.40,1,0,0,35.32,1
44,1.163,2,1.30,1,0,0,11.78,1
46,2.435,10,5.83,1,1,0,14.06,2
52,3.605,3,5.95,1,1,0,55.92,1
2,0.344,4,3.44,0,1,0,29.38,1
86,1.052,21,9.36,0,0,3,10.55,2
22,1.111,4,3.75,0,0,2,42.14,1
15,0.986,13,5.67,0,0,0,51.49,2
57,2.455,22,5.13,1,0,3,19.73,2
8,2.939,7,1.09,0,0,0,51.96,0
82,1.359,23,7.85,0,0,0,24.28,2
61,0.571,5,3.18,1,0,1,26.57,2
51,1.235,4,7.52,0,0,1,64.41,1
14,0.482,10,5.32,0,0,2,61.75,2
56,0.696,14,1.28,1,0,2,34.89,2
58,1.003,6,2.47,0,1,2,25.42,2
65,0.274,15,3.06,0,0,0,51.64,2
80,3.616,5,7.28,0,0,3,3.14,1
25,1.097,11,2.93,0,0,3,18.36,2
20,1.413,13,2.35,0,0,2,58.48,2
27,0.584,9,0.02,1,0,0,20.76,2
53,0.787,17,0.36,0,0,0,6.04,2
65,2.151,21,3.83,0,0,0,38.03,2
86,1.336,6,0.10,0,0,0,37.23,2
41,0.685,8,2.16,0,0,3,25.15,2
79,1.624,10,6.91,0,0,0,5.83,2
75,0.993,14,8.18,0,0,2,65.41,2
79,0.317,1,4.11,0,0,2,25.64,0
72,1.703,0,1.53,0,0,1,40.00,0
83,0.542,11,4.56,0,0,2,70.12,2
83,1.767,12,2.08,0,0,0,23.52,2
48,0.612,3,1.11,0,0,2,51.27,1
14,2.095,10,12.58,0,0,2,32.51,2
16,1.020,11,8.74,1,0,3,16.47,2
8,3.188,4,6.83,0,0,0,10.21,1
11,0.450,13,1.00,0,0,1,20.39,2
26,2.342,27,0.91,1,0,0,23.28,2
6,2.911,8,0.62,0,0,1,56.36,2
70,2.425,3,4.01,1,0,0,3.62,2
49,1.017,9,4.91,0,0,0,30.84,2
67,0.465,12,7.42,0,0,2,20.32,2
16,0.368,2,5.08,0,0,2,9.44,0
55,1.342,24,7.05,0,0,1,45.67,2
73,0.378,12,3.51,1,0,2,63.11,2
73,0.476,19,3.46,0,0,2,25.98,2
7,0.626,10,1.83,0,0,0,21.37,2
64,1.922,18,4.34,1,0,0,27.59,2
14,1.307,8,0.43,0,0,3,37.00,2
61,1.221,17,4.76,0,0,0,3.65,2
45,0.674,18,0.76,0,0,0,47.41,2
21,1.216,1,2.80,0,0,0,34.98,0
72,1.345,17,2.56,0,0,2,16.00,2
76,0.518,26,6.33,0,0,0,29.28,2
42,1.735,18,5.22,1,0,0,45.32,2
61,0.158,22,0.67,1,0,0,21.23,2
38,0.365,9,1.13,0,0,2,5.02,2
61,2.928,12,2.18,0,0,0,29.87,2
79,0.875,24,1.00,0,0,0,60.42,2
86,1.440,7,7.88,1,0,3,37.45,1
3,2.490,9,5.68,1,0,0,36.61,0
89,0.467,26,2.30,0,0,0,72.25,2
15,1.255,8,2.13,1,0,2,67.64,2
20,1.427,9,4.53,1,0,3,35.02,2
43,0.366,12,6.43,1,0,0,55.65,2
69,0.790,3,5.56,0,0,0,30.34,1
89,2.572,26,1.25,0,0,0,15.84,2
37,1.155,2,4.94,0,1,2,90.70,0
